pid,report_url,eventBody,locked_by,locked_time,timestampInserted,account
11,xp_its_podcasts_main,"{""osVersion"":""13.3.1"",""authenticated_dark"":0,""eventType"":""click"",""feed_dark"":0,""total"":6,""topic"":""xp_its_podcasts_main"",""pageType"":""podcast_stats"",""eventVersion"":1,""notifications_enabled"":6,""appVersion"":""3.9"",""download_dark"":0,""not_subscribed"":0,""notifications_disabled"":0,""baseVersion"":1,""orphaned_from_cloud"":0,""subscribed"":6,""eventTime"":1586428849424,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""clientEventId"":""63539877-7F33-4F55-97E1-0AAF49DDB096"",""timezoneOffset"":240,""app"":""com.apple.podcasts"",""episodes_from_itunes"":0}",,0.0,608121649.434108,
12,xp_its_podcasts_main,"{""osVersion"":""13.3.1"",""authenticated_dark"":0,""eventType"":""click"",""feed_dark"":0,""total"":6,""topic"":""xp_its_podcasts_main"",""pageType"":""podcast_stats"",""eventVersion"":1,""notifications_enabled"":6,""appVersion"":""3.9"",""download_dark"":0,""not_subscribed"":0,""notifications_disabled"":0,""baseVersion"":1,""orphaned_from_cloud"":0,""subscribed"":6,""eventTime"":1586428849787,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""clientEventId"":""F96D3C10-0EDA-4D75-96AE-6A2293C6C56C"",""timezoneOffset"":240,""app"":""com.apple.podcasts"",""episodes_from_itunes"":0}",,0.0,608121649.795053,
13,xp_its_podcasts_main,"{""osVersion"":""13.3.1"",""authenticated_dark"":0,""eventType"":""click"",""feed_dark"":0,""total"":6,""topic"":""xp_its_podcasts_main"",""pageType"":""podcast_stats"",""eventVersion"":1,""notifications_enabled"":6,""appVersion"":""3.9"",""download_dark"":0,""not_subscribed"":0,""notifications_disabled"":0,""baseVersion"":1,""orphaned_from_cloud"":0,""subscribed"":6,""eventTime"":1586428849879,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""clientEventId"":""46F94D0F-C6FD-4E50-94AE-23600A059BBB"",""timezoneOffset"":240,""app"":""com.apple.podcasts"",""episodes_from_itunes"":0}",,0.0,608121649.902355,
14,xp_its_podcasts_main,"{""osVersion"":""13.3.1"",""authenticated_dark"":0,""eventType"":""click"",""feed_dark"":0,""total"":6,""topic"":""xp_its_podcasts_main"",""pageType"":""podcast_stats"",""eventVersion"":1,""notifications_enabled"":6,""appVersion"":""3.9"",""download_dark"":0,""not_subscribed"":0,""notifications_disabled"":0,""baseVersion"":1,""orphaned_from_cloud"":0,""subscribed"":6,""eventTime"":1586428849913,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""clientEventId"":""A6E9BE96-2F4A-494F-927C-483D8C6651D8"",""timezoneOffset"":240,""app"":""com.apple.podcasts"",""episodes_from_itunes"":0}",,0.0,608121649.943415,
15,xp_its_podcasts_main,"{""osVersion"":""13.3.1"",""authenticated_dark"":0,""eventType"":""click"",""feed_dark"":0,""total"":6,""topic"":""xp_its_podcasts_main"",""pageType"":""podcast_stats"",""eventVersion"":1,""notifications_enabled"":6,""appVersion"":""3.9"",""download_dark"":0,""not_subscribed"":0,""notifications_disabled"":0,""baseVersion"":1,""orphaned_from_cloud"":0,""subscribed"":6,""eventTime"":1586428850632,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""clientEventId"":""13339236-1985-4080-A6CD-4D933058613A"",""timezoneOffset"":240,""app"":""com.apple.podcasts"",""episodes_from_itunes"":0}",,0.0,608121650.691045,
16,xp_its_podcasts_main,"{""osVersion"":""13.3.1"",""authenticated_dark"":0,""eventType"":""click"",""feed_dark"":0,""total"":6,""topic"":""xp_its_podcasts_main"",""pageType"":""podcast_stats"",""eventVersion"":1,""notifications_enabled"":6,""appVersion"":""3.9"",""download_dark"":0,""not_subscribed"":0,""notifications_disabled"":0,""baseVersion"":1,""orphaned_from_cloud"":0,""subscribed"":6,""eventTime"":1586428850686,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""clientEventId"":""429F0BF2-A097-429F-B3D4-187D5DA70024"",""timezoneOffset"":240,""app"":""com.apple.podcasts"",""episodes_from_itunes"":0}",,0.0,608121650.762465,
17,xp_its_podcasts_main,"{""osVersion"":""13.3.1"",""authenticated_dark"":0,""eventType"":""click"",""feed_dark"":0,""total"":6,""topic"":""xp_its_podcasts_main"",""pageType"":""podcast_stats"",""eventVersion"":1,""notifications_enabled"":6,""appVersion"":""3.9"",""download_dark"":0,""not_subscribed"":0,""notifications_disabled"":0,""baseVersion"":1,""orphaned_from_cloud"":0,""subscribed"":6,""eventTime"":1586428851363,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""clientEventId"":""4BFCBD51-FA54-46E0-8129-E4DE2DDE5857"",""timezoneOffset"":240,""app"":""com.apple.podcasts"",""episodes_from_itunes"":0}",,0.0,608121651.380795,
18,xp_its_podcasts_main,"{""osVersion"":""13.3.1"",""authenticated_dark"":0,""eventType"":""click"",""feed_dark"":0,""total"":6,""topic"":""xp_its_podcasts_main"",""pageType"":""podcast_stats"",""eventVersion"":1,""notifications_enabled"":6,""appVersion"":""3.9"",""download_dark"":0,""not_subscribed"":0,""notifications_disabled"":0,""baseVersion"":1,""orphaned_from_cloud"":0,""subscribed"":6,""eventTime"":1586428854177,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""clientEventId"":""F7407107-D637-4552-B232-7F27B2BDB2C1"",""timezoneOffset"":240,""app"":""com.apple.podcasts"",""episodes_from_itunes"":0}",,0.0,608121654.191536,
19,xp_its_podcasts_main,"{""osVersion"":""13.3.1"",""authenticated_dark"":0,""eventType"":""click"",""feed_dark"":0,""total"":6,""topic"":""xp_its_podcasts_main"",""pageType"":""podcast_stats"",""eventVersion"":1,""notifications_enabled"":6,""appVersion"":""3.9"",""download_dark"":0,""not_subscribed"":0,""notifications_disabled"":0,""baseVersion"":1,""orphaned_from_cloud"":0,""subscribed"":6,""eventTime"":1586428854439,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""clientEventId"":""EE0FFB15-B293-46C5-9A2E-4BA4F3364D94"",""timezoneOffset"":240,""app"":""com.apple.podcasts"",""episodes_from_itunes"":0}",,0.0,608121654.446849,
20,xp_its_podcasts_main,"{""osVersion"":""13.3.1"",""authenticated_dark"":0,""eventType"":""click"",""feed_dark"":0,""total"":6,""topic"":""xp_its_podcasts_main"",""pageType"":""podcast_stats"",""eventVersion"":1,""notifications_enabled"":6,""appVersion"":""3.9"",""download_dark"":0,""not_subscribed"":0,""notifications_disabled"":0,""baseVersion"":1,""orphaned_from_cloud"":0,""subscribed"":6,""eventTime"":1586428857875,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""clientEventId"":""0D0DAD01-DDB4-41A0-89C5-0D35D398866D"",""timezoneOffset"":240,""app"":""com.apple.podcasts"",""episodes_from_itunes"":0}",,0.0,608121657.88301,
21,xp_its_podcasts_main,"{""osVersion"":""13.3.1"",""authenticated_dark"":0,""eventType"":""click"",""feed_dark"":0,""total"":6,""topic"":""xp_its_podcasts_main"",""pageType"":""podcast_stats"",""eventVersion"":1,""notifications_enabled"":6,""appVersion"":""3.9"",""download_dark"":0,""not_subscribed"":0,""notifications_disabled"":0,""baseVersion"":1,""orphaned_from_cloud"":0,""subscribed"":6,""eventTime"":1586428858839,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""clientEventId"":""2B4F3F0C-50BB-4B9F-9193-3368AC7C82EC"",""timezoneOffset"":240,""app"":""com.apple.podcasts"",""episodes_from_itunes"":0}",,0.0,608121658.845911,
22,xp_its_podcasts_main,"{""osVersion"":""13.3.1"",""authenticated_dark"":0,""eventType"":""click"",""feed_dark"":0,""total"":6,""topic"":""xp_its_podcasts_main"",""pageType"":""podcast_stats"",""eventVersion"":1,""notifications_enabled"":6,""appVersion"":""3.9"",""download_dark"":0,""not_subscribed"":0,""notifications_disabled"":0,""baseVersion"":1,""orphaned_from_cloud"":0,""subscribed"":6,""eventTime"":1586428862872,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""clientEventId"":""28A2D4D6-E177-4B62-802F-0251D4B374CE"",""timezoneOffset"":240,""app"":""com.apple.podcasts"",""episodes_from_itunes"":0}",,0.0,608121663.088306,
23,xp_its_podcasts_main,"{""eventType"":""click"",""timezoneOffset"":240,""baseVersion"":1,""osVersion"":""13.3.1"",""settings"":{""subscribed"":1,""autoDownloadType"":2147483647,""sortAscending"":false,""deletePlayedEpisodes"":4294967295,""episodeLimit"":0,""darkCount"":2,""updatedDate"":608121650.46139097,""updateInterval"":4294967295,""playbackNewestToOldest"":true},""clientEventId"":""319046B3-0C26-4169-BF4D-0E39649D741F"",""foreground"":false,""topic"":""xp_its_podcasts_main"",""eventTime"":1586499520605,""app"":""com.apple.podcasts"",""pageType"":""feed_update_podcast"",""contentId"":{""adamId"":""1085119221"",""feedUrl"":""https:\/\/digitalforensicsurvivalpodcast.libsyn.com\/rss"",""title"":""Digital Forensic Survival Podcast""},""backgroundFetch"":false,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""appVersion"":""3.9"",""userInitiated"":false,""eventVersion"":1}",,0.0,608192320.803438,
24,xp_its_podcasts_main,"{""eventType"":""click"",""timezoneOffset"":240,""baseVersion"":1,""osVersion"":""13.3.1"",""settings"":{""subscribed"":1,""autoDownloadType"":2147483647,""sortAscending"":false,""deletePlayedEpisodes"":4294967295,""episodeLimit"":0,""darkCount"":2,""updatedDate"":608121656.88886201,""updateInterval"":4294967295,""playbackNewestToOldest"":true},""clientEventId"":""167BE45B-6D14-476F-B9EC-977F478B31A1"",""foreground"":false,""topic"":""xp_its_podcasts_main"",""eventTime"":1586499520616,""app"":""com.apple.podcasts"",""pageType"":""feed_update_podcast"",""contentId"":{""adamId"":""994362496"",""feedUrl"":""https:\/\/iotpodcast.com\/feed\/podcast\/"",""title"":""The Internet of Things Podcast - Stacey On IoT""},""backgroundFetch"":false,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""appVersion"":""3.9"",""userInitiated"":false,""eventVersion"":1}",,0.0,608192320.821812,
25,xp_its_podcasts_main,"{""eventType"":""click"",""timezoneOffset"":240,""baseVersion"":1,""osVersion"":""13.3.1"",""settings"":{""subscribed"":1,""autoDownloadType"":2147483647,""sortAscending"":false,""deletePlayedEpisodes"":4294967295,""episodeLimit"":0,""darkCount"":0,""updatedDate"":608121654.14501202,""updateInterval"":4294967295,""playbackNewestToOldest"":true},""clientEventId"":""8485BC38-2870-4AB3-A62E-CA31040B22EF"",""foreground"":false,""topic"":""xp_its_podcasts_main"",""eventTime"":1586499520618,""app"":""com.apple.podcasts"",""pageType"":""feed_update_podcast"",""contentId"":{""adamId"":""503494956"",""feedUrl"":""http:\/\/thecultcast.libsyn.com\/rss"",""title"":""The CultCast""},""backgroundFetch"":false,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""appVersion"":""3.9"",""userInitiated"":false,""eventVersion"":1}",,0.0,608192320.832207,
26,xp_its_podcasts_main,"{""eventType"":""click"",""timezoneOffset"":240,""baseVersion"":1,""osVersion"":""13.3.1"",""settings"":{""subscribed"":1,""autoDownloadType"":2147483647,""sortAscending"":false,""deletePlayedEpisodes"":4294967295,""episodeLimit"":0,""darkCount"":1,""updatedDate"":608121649.079898,""updateInterval"":4294967295,""playbackNewestToOldest"":true},""clientEventId"":""A6DF40A6-88B3-4B74-9879-E24BD93E939B"",""foreground"":false,""topic"":""xp_its_podcasts_main"",""eventTime"":1586499520625,""app"":""com.apple.podcasts"",""pageType"":""feed_update_podcast"",""contentId"":{""adamId"":""1222114325"",""feedUrl"":""https:\/\/feeds.npr.org\/510318\/podcast.xml"",""title"":""Up First""},""backgroundFetch"":false,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""appVersion"":""3.9"",""userInitiated"":false,""eventVersion"":1}",,0.0,608192320.838941,
27,xp_its_podcasts_main,"{""eventType"":""click"",""timezoneOffset"":240,""baseVersion"":1,""osVersion"":""13.3.1"",""settings"":{""subscribed"":1,""autoDownloadType"":2147483647,""sortAscending"":false,""deletePlayedEpisodes"":4294967295,""episodeLimit"":0,""darkCount"":0,""updatedDate"":608121645.96131003,""updateInterval"":4294967295,""playbackNewestToOldest"":true},""clientEventId"":""F03BFD40-1A6B-4876-AD93-FBBA24BEF2E0"",""foreground"":false,""topic"":""xp_its_podcasts_main"",""eventTime"":1586499520634,""app"":""com.apple.podcasts"",""pageType"":""feed_update_podcast"",""contentId"":{""adamId"":""1266572767"",""feedUrl"":""http:\/\/feeds.feedburner.com\/ThisMonthIn4n6"",""title"":""This Week In 4n6 » Podcasts""},""backgroundFetch"":false,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""appVersion"":""3.9"",""userInitiated"":false,""eventVersion"":1}",,0.0,608192320.84448,
28,xp_its_podcasts_main,"{""eventType"":""click"",""timezoneOffset"":240,""baseVersion"":1,""osVersion"":""13.3.1"",""settings"":{""subscribed"":1,""autoDownloadType"":2147483647,""sortAscending"":false,""deletePlayedEpisodes"":4294967295,""episodeLimit"":0,""darkCount"":0,""updatedDate"":608121654.40176904,""updateInterval"":4294967295,""playbackNewestToOldest"":true},""clientEventId"":""0A90BEC8-DDDD-4ECA-9082-A8E84EFFCBCD"",""foreground"":false,""topic"":""xp_its_podcasts_main"",""eventTime"":1586499520636,""app"":""com.apple.podcasts"",""pageType"":""feed_update_podcast"",""contentId"":{""adamId"":""1179376133"",""feedUrl"":""https:\/\/feeds.captivate.fm\/cybersecurityinterviews\/"",""title"":""Cyber Security Interviews""},""backgroundFetch"":false,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""appVersion"":""3.9"",""userInitiated"":false,""eventVersion"":1}",,0.0,608192321.047015,
29,xp_its_podcasts_main,"{""osVersion"":""13.3.1"",""authenticated_dark"":0,""eventType"":""click"",""feed_dark"":0,""total"":6,""topic"":""xp_its_podcasts_main"",""pageType"":""podcast_stats"",""eventVersion"":1,""notifications_enabled"":6,""appVersion"":""3.9"",""download_dark"":0,""not_subscribed"":0,""notifications_disabled"":0,""baseVersion"":1,""orphaned_from_cloud"":0,""subscribed"":6,""eventTime"":1586499525637,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""clientEventId"":""74B8C8A8-336D-4F81-A292-AE425327B267"",""timezoneOffset"":240,""app"":""com.apple.podcasts"",""episodes_from_itunes"":0}",,0.0,608192325.673314,
30,xp_its_podcasts_main,"{""osVersion"":""13.3.1"",""authenticated_dark"":0,""eventType"":""click"",""feed_dark"":0,""total"":6,""topic"":""xp_its_podcasts_main"",""pageType"":""podcast_stats"",""eventVersion"":1,""notifications_enabled"":6,""appVersion"":""3.9"",""download_dark"":0,""not_subscribed"":0,""notifications_disabled"":0,""baseVersion"":1,""orphaned_from_cloud"":0,""subscribed"":6,""eventTime"":1586499526082,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""clientEventId"":""D3D624AB-659C-4608-8530-E921EC6EEF69"",""timezoneOffset"":240,""app"":""com.apple.podcasts"",""episodes_from_itunes"":0}",,0.0,608192326.091892,
31,xp_its_podcasts_main,"{""osVersion"":""13.3.1"",""authenticated_dark"":0,""eventType"":""click"",""feed_dark"":0,""total"":6,""topic"":""xp_its_podcasts_main"",""pageType"":""podcast_stats"",""eventVersion"":1,""notifications_enabled"":6,""appVersion"":""3.9"",""download_dark"":0,""not_subscribed"":0,""notifications_disabled"":0,""baseVersion"":1,""orphaned_from_cloud"":0,""subscribed"":6,""eventTime"":1586499527078,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""clientEventId"":""4425743A-1CAE-4FEE-B6F2-9146FBB49D9F"",""timezoneOffset"":240,""app"":""com.apple.podcasts"",""episodes_from_itunes"":0}",,0.0,608192327.087611,
32,xp_its_podcasts_main,"{""osVersion"":""13.3.1"",""authenticated_dark"":0,""eventType"":""click"",""feed_dark"":0,""total"":6,""topic"":""xp_its_podcasts_main"",""pageType"":""podcast_stats"",""eventVersion"":1,""notifications_enabled"":6,""appVersion"":""3.9"",""download_dark"":0,""not_subscribed"":0,""notifications_disabled"":0,""baseVersion"":1,""orphaned_from_cloud"":0,""subscribed"":6,""eventTime"":1586499527350,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""clientEventId"":""54B28DE2-D28C-4B74-ADBA-3290A3160165"",""timezoneOffset"":240,""app"":""com.apple.podcasts"",""episodes_from_itunes"":0}",,0.0,608192327.361038,
33,xp_its_podcasts_main,"{""osVersion"":""13.3.1"",""authenticated_dark"":0,""eventType"":""click"",""feed_dark"":0,""total"":6,""topic"":""xp_its_podcasts_main"",""pageType"":""podcast_stats"",""eventVersion"":1,""notifications_enabled"":6,""appVersion"":""3.9"",""download_dark"":0,""not_subscribed"":0,""notifications_disabled"":0,""baseVersion"":1,""orphaned_from_cloud"":0,""subscribed"":6,""eventTime"":1586499530627,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""clientEventId"":""FDBA0CB8-01B0-4CAC-90D3-AEDCF904B14D"",""timezoneOffset"":240,""app"":""com.apple.podcasts"",""episodes_from_itunes"":0}",,0.0,608192330.632727,
34,xp_its_podcasts_main,"{""osVersion"":""13.3.1"",""authenticated_dark"":0,""eventType"":""click"",""feed_dark"":0,""total"":6,""topic"":""xp_its_podcasts_main"",""pageType"":""podcast_stats"",""eventVersion"":1,""notifications_enabled"":6,""appVersion"":""3.9"",""download_dark"":0,""not_subscribed"":0,""notifications_disabled"":0,""baseVersion"":1,""orphaned_from_cloud"":0,""subscribed"":6,""eventTime"":1586499531878,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""clientEventId"":""61734265-B155-4F0C-8D60-783AED4D005B"",""timezoneOffset"":240,""app"":""com.apple.podcasts"",""episodes_from_itunes"":0}",,0.0,608192331.88774,
35,xp_its_podcasts_main,"{""osVersion"":""13.3.1"",""authenticated_dark"":0,""eventType"":""click"",""feed_dark"":0,""total"":6,""topic"":""xp_its_podcasts_main"",""pageType"":""podcast_stats"",""eventVersion"":1,""notifications_enabled"":6,""appVersion"":""3.9"",""download_dark"":0,""not_subscribed"":0,""notifications_disabled"":0,""baseVersion"":1,""orphaned_from_cloud"":0,""subscribed"":6,""eventTime"":1586499532315,""token"":""235DE080-2F0A-47A3-9BB3-DAAB2D679E00"",""clientEventId"":""EBCFD540-430B-4485-9CFC-0BF23D004941"",""timezoneOffset"":240,""app"":""com.apple.podcasts"",""episodes_from_itunes"":0}",,0.0,608192332.367095,
