rowid,p,key
11,"b'\x1c\x00\x00\x00\x00\x00\x16\x00\x10\x00\x08\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x0c\x00\x16\x00\x00\x00\x00\x00\x00\x01,\x00\x00\x00\x04\x00\x00\x00 \x00\x00\x00TSAF\x03\x00\x04\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x081587052369\x00\x0e\x00\x00\x00systemBootTime\x00\x00'",systemBootTime
12,b'\x1c\x00\x00\x00\x00\x00\x16\x00\x10\x00\x08\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x0c\x00\x16\x00\x00\x00\x00\x00\x00\x01D\x00\x00\x00\x04\x00\x00\x006\x00\x00\x00TSAF\x03\x00\x04\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x08MESSAGING/FEED to MESSAGING/CHAT\x00\x00\x00\x14\x00\x00\x00NAVIGATION_LAST_PAGE\x00\x00\x00\x00',NAVIGATION_LAST_PAGE
13,b'\x10\x00\x00\x00\x00\x00\n\x00\x0c\x00\x08\x00\x00\x00\x07\x00\n\x00\x00\x00\x00\x00\x00\x02\x04\x00\x00\x00&\x00\x00\x00SCCrashReportLastCrashReportedOnLaunch\x00\x00',SCCrashReportLastCrashReportedOnLaunch
14,b'\x0c\x00\x00\x00\x00\x00\x06\x00\x08\x00\x04\x00\x06\x00\x00\x00\x04\x00\x00\x00(\x00\x00\x00SCChangeLanguageInSettingsPreferencesKey\x00\x00\x00\x00',SCChangeLanguageInSettingsPreferencesKey
15,b'\x1c\x00\x00\x00\x00\x00\x16\x00\x10\x00\x08\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x0c\x00\x16\x00\x00\x00\x00\x00\x00\x01\x80\x00\x00\x00\x04\x00\x00\x00q\x00\x00\x00TSAF\x03\x00\x04\x00\x02\x00\x00\x00\x00\x00\x00\x00\x03\x00\x00\x00\t\x00\x00\x00\x02\x00\x00\x00\x16\x00\x00\x00\x80I\xa6\xe1u\xa3\xd7A\x08cfr_device_id_date\x00\x08AFE07625-6B97-4600-ABF9-381DD1A7EDAB\x00\x08cfr_device_id\x00\x00\x00\x00\x12\x00\x00\x00cfr_device_id_dict\x00\x00',cfr_device_id_dict
16,b'\x1c\x00\x00\x00\x00\x00\x16\x00\x10\x00\x08\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x0c\x00\x16\x00\x00\x00\x00\x00\x00\x01H\x00\x00\x00\x04\x00\x00\x00:\x00\x00\x00TSAF\x03\x00\x04\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x080D99ABE9-B1D0-41C1-8C45-2681A498AD97\x00\x00\x00\x15\x00\x00\x00SCSnapAdsAdvertiserId\x00\x00\x00',SCSnapAdsAdvertiserId
17,b'\x1c\x00\x00\x00\x00\x00\x00\x00\x14\x00\x14\x00\x08\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x0c\x00\x14\x00\x00\x00\x00\x00\x00\x06\x0c\x00\x00\x00D\xda\xad7 \xa6\xd7A+\x00\x00\x00SCSnapAdsLastAdvertiserIdPersistedTimestamp\x00',SCSnapAdsLastAdvertiserIdPersistedTimestamp
18,b'\x1c\x00\x00\x00\x00\x00\x16\x00\x10\x00\x08\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x0c\x00\x16\x00\x00\x00\x00\x00\x00\x01\xb0\x00\x00\x00\x04\x00\x00\x00\xa4\x00\x00\x00TSAF\x03\x00\x04\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x08BgAAAAcAAABrNDQwODMxNAAAAF6bdnrInsn3uqOi48X-gqOgHF1ZKgorvf0RYDqnvgzzZ7IPKPT5Q2n_eCU6wekuLcHz0dULAAAAcGl4ZWwtdG9rZW4QAAAA28CKDJCN61KmqFiAxIymwg\x00\x17\x00\x00\x00SCSnapAdsUserPixelToken\x00',SCSnapAdsUserPixelToken
19,b'\x0c\x00\x00\x00\x00\x00\x06\x00\x08\x00\x04\x00\x06\x00\x00\x00\x04\x00\x00\x00/\x00\x00\x00kSCCameraPreferencesBatchCaptureRecoveryDataKey\x00',kSCCameraPreferencesBatchCaptureRecoveryDataKey
20,"b""\x0c\x00\x00\x00\x00\x00\x06\x00\x08\x00\x04\x00\x06\x00\x00\x00\x04\x00\x00\x00'\x00\x00\x00kSCCameraPreferencesSnapRecoveryDataKey\x00""",kSCCameraPreferencesSnapRecoveryDataKey
21,b'\x0c\x00\x00\x00\x08\x00\x0c\x00\x04\x00\x08\x00\x08\x00\x00\x00\x18\x00\x00\x00\x04\x00\x00\x00\x08\x00\x00\x00656f2e4f\x00\x00\x00\x00=\x00\x00\x00656f2e4f-f6e7-4e59-81d3-3a75f9aae34b-HasGrantedContactsAccess\x00\x00\x00',656f2e4f-f6e7-4e59-81d3-3a75f9aae34b-HasGrantedContactsAccess
22,"b""\x1c\x00\x00\x00\x00\x00\x16\x00\x10\x00\x08\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x0c\x00\x16\x00\x00\x00\x00\x00\x00\x01,\x00\x00\x00\x04\x00\x00\x00 \x00\x00\x00TSAF\x03\x00\x04\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x16\x00\x00\x00\x89'A\xfaW\x9e\xd7A\x10\x00\x00\x00DateFirstOpenApp\x00\x00\x00\x00""",DateFirstOpenApp
23,b'\x0c\x00\x00\x00\x00\x00\x06\x00\x08\x00\x04\x00\x06\x00\x00\x00\x04\x00\x00\x00\x1c\x00\x00\x00savedLevelerModeEnableStatus\x00\x00\x00\x00',savedLevelerModeEnableStatus
24,b'\x1c\x00\x00\x00\x00\x00\x16\x00\x10\x00\x08\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x0c\x00\x16\x00\x00\x00\x00\x00\x00\x01H\x00\x00\x00\x04\x00\x00\x00:\x00\x00\x00TSAF\x03\x00\x04\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x08CBC3CA05-3A89-40A7-95F3-C8E6DCC7E41C\x00\x00\x00\x14\x00\x00\x00SCSnapAdsAdSessionId\x00\x00\x00\x00',SCSnapAdsAdSessionId
25,b'\x10\x00\x00\x00\x0c\x00\x10\x00\x08\x00\x0c\x00\x06\x00\x07\x00\x0c\x00\x00\x00\x00\x00\x02\x01\x18\x00\x00\x00\x04\x00\x00\x00\x08\x00\x00\x00656f2e4f\x00\x00\x00\x00E\x00\x00\x00656f2e4f-f6e7-4e59-81d3-3a75f9aae34b-user_level_contact_sync_state_id\x00\x00\x00',656f2e4f-f6e7-4e59-81d3-3a75f9aae34b-user_level_contact_sync_state_id
26,b'\x14\x00\x00\x00\x00\x00\x0e\x00\x14\x00\x08\x00\x00\x00\x07\x00\x00\x00\x0c\x00\x0e\x00\x00\x00\x00\x00\x00\x03\x0c\x00\x00\x00\x0c\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00NumberOfTimesDismissOpera\x00\x00\x00',NumberOfTimesDismissOpera
27,b'\x14\x00\x00\x00\x00\x00\x0e\x00\x18\x00\x08\x00\x00\x00\x07\x00\x00\x00\x0c\x00\x0e\x00\x00\x00\x00\x00\x00\x03\x10\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x17\x00\x00\x00savedMainCameraPosition\x00',savedMainCameraPosition
28,b'\x10\x00\x00\x00\x0c\x00\x0c\x00\x08\x00\x00\x00\x06\x00\x07\x00\x0c\x00\x00\x00\x00\x00\x02\x01\x04\x00\x00\x00&\x00\x00\x00PER_USER_LOCATION_PERMISSION_SUPPORTED\x00\x00',PER_USER_LOCATION_PERMISSION_SUPPORTED
29,b'\x10\x00\x00\x00\x0c\x00\x10\x00\x08\x00\x0c\x00\x06\x00\x07\x00\x0c\x00\x00\x00\x00\x00\x02\x01<\x00\x00\x00\x04\x00\x00\x00/\x00\x00\x00PER_USER_LOCATION_PERMISSION_SUPPORTED.656f2e4f\x00K\x00\x00\x00PER_USER_LOCATION_PERMISSION_SUPPORTED.656f2e4f-f6e7-4e59-81d3-3a75f9aae34b\x00',PER_USER_LOCATION_PERMISSION_SUPPORTED.656f2e4f-f6e7-4e59-81d3-3a75f9aae34b
