identifier,name,nodeIds,edgeIds
67,Roof,b'\x02\x01J',b'\x02\x00'
68,Parking_Lot,b'\x02\x01K',b'\x02\x00'
69,Driveway,b'\x02\x01L',b'\x02\x00'
70,Automobile,b'\x02\x01M',b'\x02\x00'
71,Oak_Tree,b'\x02\x01N',b'\x02\x00'
72,Car,b'\x02\x01O',b'\x02\x00'
73,Golf,b'\x02\x01P',b'\x02\x00'
74,Truck,b'\x02\x01Q',b'\x02\x00'
75,House_Single,b'\x02\x01R',b'\x02\x00'
76,Road,b'\x02\x01S',b'\x02\x00'
77,Sport,b'\x02\x01T',b'\x02\x00'
78,Address,b'\x02\x02U\x0f',b'\x02\x00'
79,domain_200,b'\x02\x0bU\x01\x01\x01\x01\x01\x01\x01\x08\x01\x01',b'\x02\x0cn\x01\x01\x01\x01\x01\x01\x01\x10\x01\x01\x01'
80,Number,b'\x02\x02V\x0f',b'\x02\x00'
81,NUMBER,b'\x02\x00',b'\x02\x02n\x17'
82,Street,b'\x02\x02W\x0f',b'\x02\x00'
83,STREET,b'\x02\x00',b'\x02\x02o\x17'
84,District,b'\x02\x01X',b'\x02\x00'
85,DISTRICT,b'\x02\x00',b'\x02\x02p\x17'
86,City,b'\x02\x01Y',b'\x02\x00'
87,CITY,b'\x02\x00',b'\x02\x01q'
88,County,b'\x02\x01Z',b'\x02\x00'
89,COUNTY,b'\x02\x00',b'\x02\x01r'
90,State,b'\x02\x01[',b'\x02\x00'
91,STATE,b'\x02\x00',b'\x02\x01s'
92,Country,b'\x02\x01\\',b'\x02\x00'
93,COUNTRY,b'\x02\x00',b'\x02\x01t'
94,ADDRESS,b'\x02\x00',b'\x02\x02u\x13'
95,Gamepad,b'\x02\x01b',b'\x02\x00'
96,Videogame,b'\x02\x01c',b'\x02\x00'
97,Arachnid,b'\x02\x01h',b'\x02\x00'
98,Arthropods,b'\x02\x01i',b'\x02\x00'
99,Reptile,b'\x02\x01j',b'\x02\x00'
100,Helmet,b'\x02\x01l',b'\x02\x00'
101,Cloak,b'\x02\x01m',b'\x02\x00'
102,Costume,b'\x02\x01n',b'\x02\x00'
103,Gas_Mask,b'\x02\x01o',b'\x02\x00'
104,Mask,b'\x02\x01p',b'\x02\x00'
105,Cow,b'\x02\x01r',b'\x02\x00'
106,Dog,b'\x02\x01s',b'\x02\x00'
107,Ungulates,b'\x02\x01t',b'\x02\x00'
108,Ridgeback,b'\x02\x01u',b'\x02\x00'
109,Graffiti,b'\x02\x01v',b'\x02\x00'
110,Kite,b'\x02\x01w',b'\x02\x00'
111,Vizsla,b'\x02\x01x',b'\x02\x00'
112,Blocks,b'\x02\x01z',b'\x02\x00'
113,Scoreboard,b'\x02\x01{',b'\x02\x00'
114,Train_Toy,b'\x02\x01|',b'\x02\x00'
115,Australian_Shepherd,b'\x02\x01\x80\x01',b'\x02\x00'
116,Saint_Bernard,b'\x02\x01\x81\x01',b'\x02\x00'
117,Setter,b'\x02\x01\x82\x01',b'\x02\x00'
118,Eyeglasses,b'\x02\x01\x83\x01',b'\x02\x00'
119,Penguin,b'\x02\x01\x84\x01',b'\x02\x00'
120,German_Shepherd,b'\x02\x01\x85\x01',b'\x02\x00'
121,Highlight,b'\x02\x08\x86\x01\x01\x01\x01\x01\x01\x01\x08',b'\x02\x00'
122,domain_102,b'\x02\n\x86\x01\x01\x01\x01\x01\x01\x01\x01\x02\x05',b'\x02\x13\xe2\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x02\x01\x01\x02\x01\x01\x17'
123,CONTAINS,b'\x02\x00',b'\x02\r\xe2\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x1f'
124,HighlightGroup,b'\x02\x02\x8d\x01\x02',b'\x02\x00'
125,Aggregation,b'\x02\x01\x8e\x01',b'\x02\x00'
126,domain_103,b'\x02\x01\x8e\x01',b'\x02\x02\xee\x01\x04'
127,HAS_TYPE,b'\x02\x00',b'\x02\x02\xee\x01\x04'
128,GROUP_CONTAINS,b'\x02\x00',b'\x02\x06\xef\x01\x01\x01\x02\x01\x01'
129,NEXT,b'\x02\x00',b'\x02\x10\xf6\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x0b\x02\x04\x01\x01'
130,domain_101,b'\x02\x00',b'\x02\x10\xf6\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x0b\x02\x04\x01\x01'
131,domain_401,b'\x02\x01\x90\x01',b'\x02\x01\x81\x02'
132,HOLIDAY,b'\x02\x00',b'\x02\x01\x81\x02'
