name,name_order,name_section,sort_key
Dub the Mic (Remastered),3969731974,3,"b'00R,\x04P82\x04B:.\x04\t\x8eL2B*NP2L20\t\x90\x01\x1c\x01\xdc\xbf\xdc\xc2\xdc\x0e\x00'"
Finger Lickin' Good (Government Cheese Remix) [Remastered],4021059862,5,b'04:D62L\x04@:.>:D\tj\x046FF0\x04\t\x8e6FT2LDB2DP\x04.822N2\x04L2B:X\t\x90\x04\t\x92L2B*NP2L20\t\x94\x01%\x1d\x01\xdc\xc0\xdc\xbf\xdc\xc1\xdc\xbc\xdc\xc0\xdc\xbf\xdc\x0e\x00'
Finger Lickin' Good (Remastered),4021084094,5,b'04:D62L\x04@:.>:D\tj\x046FF0\x04\t\x8eL2B*NP2L20\t\x90\x01$\x01\xdc\xc0\xdc\xbf\xdc\xc1\xdc\x0e\x00'
Funky Boss (Remastered),4028491528,5,"b'04RD>Z\x04,FNN\x04\t\x8eL2B*NP2L20\t\x90\x01\x1b\x01\xdc\xc1\xdc\xc1\xdc\x0e\x00'"
Gratitude (Live At Budokan) [Remastered],4055005257,6,"b'06L*P:PR02\x04\t\x8e@:T2\x04*P\x04,R0F>*D\t\x90\x04\t\x92L2B*NP2L20\t\x94\x01%\x0b\x01\xdc\xbc\xdc\xc2\xdc\xc4\xdc\xbd\xdc\x0e\x00'"
Gratitude (Remastered),4055212650,6,b'06L*P:PR02\x04\t\x8eL2B*NP2L20\t\x90\x01\x1a\x01\xdc\xbc\xdc\x0e\x00'
Groove Holmes (Live vs. The Biz) [Remastered],4058821503,6,"b'06LFFT2\x048F@B2N\x04\t\x8e@:T2\x04TN\x08\x04P82\x04,:\\\t\x90\x04\t\x92L2B*NP2L20\t\x94\x01%\x10\x01\xdc\xc0\xdc\xbf\xdc\xbe\xdc\xc3\xdc\xc1\xdc\x0e\x00'"
Groove Holmes (Remastered),4058989491,6,b'06LFFT2\x048F@B2N\x04\t\x8eL2B*NP2L20\t\x90\x01\x1e\x01\xdc\xc0\xdc\xbf\xdc\x0e\x00'
Hip-Hop/Rap,4076390828,7,b'08:H\x05\x0e8FH\n\x8aL*H\x01\x0f\x01\xdc\xc3\xdc\xc3\xdc\x06\x00'
Honky Rink (Remastered),4077328897,7,b'08FD>Z\x04L:D>\x04\t\x8eL2B*NP2L20\t\x90\x01\x1b\x01\xdc\xc1\xdc\xc1\xdc\x0e\x00'
In 3'S (Remastered),4104433803,8,b'0:D\x04\x0f\x05\tjN\x04\t\x8eL2B*NP2L20\t\x90\x01\x17\x01\xdc\xc2\xdc\xc4\xdc\x0e\x00'
Jimmy James (Original Original Version) [Remastered],4131062089,9,b'0<:BBZ\x04<*B2N\x04\t\x8eFL:6:D*@\x04FL:6:D*@\x04T2LN:FD\t\x90\x04\t\x92L2B*NP2L20\t\x94\x01%\x17\x01\xdc\xc1\xdc\xc0\xdc\xbe\xdc\xbe\xdc\xbd\xdc\x0e\x00'
Jimmy James (Remastered),4133336132,9,b'0<:BBZ\x04<*B2N\x04\t\x8eL2B*NP2L20\t\x90\x01\x1c\x01\xdc\xc1\xdc\xc0\xdc\x0e\x00'
Lighten Up (Remastered),4186704312,11,b'0@:68P2D\x04RH\x04\t\x8eL2B*NP2L20\t\x90\x01\x1b\x01\xdc\xbf\xdc\xc3\xdc\x0e\x00'
Live At P.J.'s (Remastered),4186862216,11,b'0@:T2\x04*P\x04H\x08<\x08\tjN\x04\t\x8eL2B*NP2L20\t\x90\x01\x1f\x01\xdc\xc2\xdc\xc4\xdc\xc5\xdc\xc1\xdc\x0e\x00'
Maestro (Remastered),4207691772,12,b'0B*2NPLF\x04\t\x8eL2B*NP2L20\t\x90\x01\x18\x01\xdc\xbe\xdc\x0e\x00'
Mark Nishita,4207883723,12,b'0B*L>\x04D:N8:P*\x01\x10\x01\xdc\xc2\xdc\n\x00'
Mark On the Bus (Remastered),4208056479,12,"b'0B*L>\x04FD\x04P82\x04,RN\x04\t\x8eL2B*NP2L20\t\x90\x01 \x01\xdc\xc2\xdc\xc0\xdc\xc2\xdc\x0e\x00'"
Namaste (Remastered),4240554958,13,b'0D*B*NP2\x04\t\x8eL2B*NP2L20\t\x90\x01\x18\x01\xdc\xbe\xdc\x0e\x00'
Netty's Girl (Remastered),4243001183,13,b'0D2PPZ\tjN\x046:L@\x04\t\x8eL2B*NP2L20\t\x90\x01\x1d\x01\xdc\xbf\xdc\xc1\xdc\x0e\x00'
Pass the Mic (Remastered),4290776710,15,b'0H*NN\x04P82\x04B:.\x04\t\x8eL2B*NP2L20\t\x90\x01\x1d\x01\xdc\xbe\xdc\xc2\xdc\x0e\x00'
"Pass the Mic, Pt. 2: Skills to Pay the Bills (Remastered)",4290953398,15,"b'0H*NN\x04P82\x04B:.\x06\x04HP\x08\x04\x0f\x04\x076\x04N>:@@N\x04PF\x04H*Z\x04P82\x04,:@@N\x04\t\x8eL2B*NP2L20\t\x90\x01%\x1c\x01\xdc\xbe\xdc\xc2\xdc\xc0\xdc\xbd\xdc\xbf\xdc\xc0\xdc\x0e\x00'"
Pow (Remastered),50760203217179741,15,b'0HFV\x04\t\x8eL2B*NP2L20\t\x90\x01\x14\x01\xdc\xc2\xdc\x0e\x00'
Professor Booty (Remastered),91875964344172103,15,"b'0HLF42NNFL\x04,FFPZ\x04\t\x8eL2B*NP2L20\t\x90\x01 \x01\xdc\xbd\xdc\xc0\xdc\x0e\x00'"
Skills to Pay the Bills (Remastered),693259210131150262,18,"b'0N>:@@N\x04PF\x04H*Z\x04P82\x04,:@@N\x04\t\x8eL2B*NP2L20\t\x90\x01%\x07\x01\xdc\xbd\xdc\xbf\xdc\xc0\xdc\x0e\x00'"
So What'Cha Want (All the Way Live Freestyle Version) [Remastered],714849234338953088,18,b'0NF\x04V8*P\tj.8*\x04V*DP\x04\t\x8e*@@\x04P82\x04V*Z\x04@:T2\x044L22NPZ@2\x04T2LN:FD\t\x90\x04\t\x92L2B*NP2L20\t\x94\x01%%\x01\xdc\xc4\xe0\xc2\xdc\xc3\xe0\xc1\xdc\xbf\xe0\xc3\xdc\xc2\xdc\xbd\xdc\xbd\xdc\x0e\x00'
So What'Cha Want (Butt Naked Version) [Remastered],715302756571709207,18,"b'0NF\x04V8*P\tj.8*\x04V*DP\x04\t\x8e,RPP\x04D*>20\x04T2LN:FD\t\x90\x04\t\x92L2B*NP2L20\t\x94\x01%\x15\x01\xdc\xc4\xe0\xc2\xdc\xc3\xe0\xc1\xdc\xc2\xdc\xc1\xdc\xbd\xdc\x0e\x00'"
So What'Cha Want (Remastered),715806670163660458,18,b'0NF\x04V8*P\tj.8*\x04V*DP\x04\t\x8eL2B*NP2L20\t\x90\x01!\x01\xdc\xc4\xe0\xc2\xdc\xc3\xe0\xc1\xdc\x0e\x00'
So What'Cha Want (Soul Assassin Remix Version) [Remastered],715876562336790098,18,b'0NF\x04V8*P\tj.8*\x04V*DP\x04\t\x8eNFR@\x04*NN*NN:D\x04L2B:X\x04T2LN:FD\t\x90\x04\t\x92L2B*NP2L20\t\x94\x01%\x1e\x01\xdc\xc4\xe0\xc2\xdc\xc3\xe0\xc1\xdc\xc2\xdc\xbe\xdc\xc1\xdc\xbd\xdc\x0e\x00'
Something's Got to Give (Remastered),718563908051516626,18,b'0NFB2P8:D6\tjN\x046FP\x04PF\x046:T2\x04\t\x8eL2B*NP2L20\t\x90\x01%\x07\x01\xdc\xbb\xdc\xc0\xdc\xc1\xdc\x0e\x00'
"Stand Together (Live At French's Tavern, Sydney, Australia) [Remastered]",773636420968045584,18,b'0NP*D0\x04PF62P82L\x04\t\x8e@:T2\x04*P\x044L2D.8\tjN\x04P*T2LD\x06\x04NZ0D2Z\x06\x04*RNPL*@:*\t\x90\x04\t\x92L2B*NP2L20\t\x94\x01%%\n\x01\xdc\xc1\xdc\xbd\xdc\xc2\xdc\xc4\xdc\xbe\xdc\xbf\xdc\xbf\xdc\xbb\xdc\x0e\x00'
Stand Together (Remastered),773786472215858793,18,b'0NP*D0\x04PF62P82L\x04\t\x8eL2B*NP2L20\t\x90\x01\x1f\x01\xdc\xc1\xdc\xbd\xdc\x0e\x00'
"Sylvester Stewart, Noah Evans & Miles Kelly",809656072954357926,18,b'0NZ@T2NP2L\x04NP2V*LP\x06\x04DF*8\x042T*DN\x04\n\x90\x04B:@2N\x04>2@@Z\x01%\x0e\x01\xdc\xbd\xdc\xbe\xdc\xc2\xdc\xbf\xdc\xc1\xdc\x08\x00'
Ted Nugent & Dr. Marcell Hall,899056510184283750,19,b'0P20\x04DR62DP\x04\n\x90\x040L\x08\x04B*L.2@@\x048*@@\x01!\x01\xdc\xc3\xdc\xbe\xdc\xc3\xdc\xbf\xdc\x07\x00'
The Biz vs. The Nuge (Remastered),916729686075919054,19,"b'0P82\x04,:\\\x04TN\x08\x04P82\x04DR62\x04\t\x8eL2B*NP2L20\t\x90\x01%\x01\xdc\xc3\xdc\xbf\xdc\xc3\xdc\xc1\xdc\x0e\x00'"
The Blue Nun (Remastered),917290438223420635,19,"b'0P82\x04,@R2\x04DRD\x04\t\x8eL2B*NP2L20\t\x90\x01\x1d\x01\xdc\xc3\xdc\xc2\xdc\xc2\xdc\x0e\x00'"
The Maestro (Remastered),1453926418834270064,19,b'0P82\x04B*2NPLF\x04\t\x8eL2B*NP2L20\t\x90\x01\x1c\x01\xdc\xc3\xdc\xbe\xdc\x0e\x00'
The Skills to Pay the Bills (Remastered),1737001654339134096,19,"b'0P82\x04N>:@@N\x04PF\x04H*Z\x04P82\x04,:@@N\x04\t\x8eL2B*NP2L20\t\x90\x01%\x0b\x01\xdc\xc3\xdc\xbd\xdc\xbf\xdc\xc0\xdc\x0e\x00'"
Time for Livin' (Remastered),3111403102386633848,19,b'0P:B2\x044FL\x04@:T:D\tj\x04\t\x8eL2B*NP2L20\t\x90\x01 \x01\xdc\xbe\xdc\xbf\xdc\x0e\x00'
NPR,4245202786,13,b'0DHL\x01\x07\x01\xdc\xdc\xdc\x00'
Up First,3391116676235010308,20,b'0RH\x044:LNP\x01\x0c\x01\xdc\xc4\xdc\x08\x00'
"Wednesday, March 25th. 2020",3814172436777535296,22,b'0V20D2N0*Z\x06\x04B*L.8\x04\x0f\x1bP8\x08\x04\x0fS\xaa\x01\x1b\x01\xe0\xbc\xdc\x0f\x00'
DFSP # 214 - CyberChef,3964243814,3,"b'004NH\x04\n\x94\x04\x0fL\x8e\x04\x05\x0e\x04.Z,2L.824\x01\x18\x01\xdc\xdc\xdc\xdc\xbf\xdc\xc2\xdc\x07\x00'"
Digital Forensic Survival Podcast,3964819059,3,b'00:6:P*@\x044FL2DN:.\x04NRLT:T*@\x04HF0.*NP\x01%\x01\xdc\xbf\xdc\xbe\xdc\xbe\xdc\n\x00'
America's favorite Apple Podcast,3866639958,0,b'0*B2L:.*\tjN\x044*TFL:P2\x04*HH@2\x04HF0.*NP\x01$\x01\xdc\xb4\xdc\xc1\xdc\n\x00'
CultCast,3932847150,2,b'0.R@P.*NP\x01\x0c\x01\xdc\xc3\xdc\x07\x00'
The CultCast,937795433069535614,19,b'0P82\x04.R@P.*NP\x01\x10\x01\xdc\xc3\xdc\xc3\xdc\x07\x00'
432 - Let’s talk about Apple’s new hardware!,6412957380684846912,26,"b'1\x0fMj\x04\x05\x0e\x04@2P\tnN\x04P*@>\x04*,FRP\x04*HH@2\tnN\x04D2V\x048*L0V*L2\x07Z\x01%\r\x01\xc2\xdc\xb6\xdc\x18\x00'"
#432 - Let’s talk about Apple’s new hardware!,6693998846301839776,26,"b'1\x0fMj\x04\x05\x0e\x04@2P\tnN\x04P*@>\x04*,FRP\x04*HH@2\tnN\x04D2V\x048*L0V*L2\x07Z\x01%\r\x01\xc2\xdc\xb6\xdc\x18\x00'"
Cyber Security Interviews,3938299536,2,"b'0.Z,2L\x04N2.RL:PZ\x04:DP2LT:2VN\x01\x1d\x01\xdc\xc1\xdc\xbe\xdc\r\x00'"
Douglas A. Brush | Weekly Interviews w/ InfoSec Pros,3968179218,3,"b'00FR6@*N\x04*\x08\x04,LRN8\x04\x0c\x89\x04V22>@Z\x04:DP2LT:2VN\x04V\n\x8a\x04:D4FN2.\x04HLFN\x01%\x17\x01\xdc\xbf\xdc\xc4\xdc\xbf\xe0\xc0\xdc\xb9\xdc\xc3\xdc\xc3\xdc\x07\x00'"
#083 – Nate Fick: Give Teams Autonomy,6203831040666217024,26,b'1\x0fL\x0b\x04\x05\x18\x04D*P2\x044:.>\x076\x046:T2\x04P2*BN\x04*RPFDFBZ\x01%\x05\x01\xc2\xdc\xc2\xdc\xc1\xdc\xc2\xdc\xc1\xdc\x0b\x00'
083 – Nate Fick: Give Teams Autonomy,6224743674668079904,26,b'1\x0fL\x0b\x04\x05\x18\x04D*P2\x044:.>\x076\x046:T2\x04P2*BN\x04*RPFDFBZ\x01%\x05\x01\xc2\xdc\xc2\xdc\xc1\xdc\xc2\xdc\xc1\xdc\x0b\x00'
Episode 260: How to make telemedicine work in a crisis,3992675597,4,"b'02H:NF02\x04\x0fL\xbc\x076\x048FV\x04PF\x04B*>2\x04P2@2B20:.:D2\x04VFL>\x04:D\x04*\x04.L:N:N\x01%\x17\x01\xdc\xbc\xdc,\x00'"
Internet of Things Podcast - Stacey On IoT,4105708617,8,b'0:DP2LD2P\x04F4\x04P8:D6N\x04HF0.*NP\x04\x05\x0e\x04NP*.2Z\x04FD\x04:FP\x01%\r\x01\xdc\xbb\xdc\xc0\xdc\xbd\xdc\xc0\xdc\xc4\xdc\xc5\xdc\x00'
"Stacey Higginbotham, tech journalist",753946362782779158,18,"b'0NP*.2Z\x048:66:D,FP8*B\x06\x04P2.8\x04<FRLD*@:NP\x01%\x07\x01\xdc\xc0\xdc \x00'"
The Internet of Things Podcast - Stacey On IoT,1268320232061161344,19,b'0P82\x04:DP2LD2P\x04F4\x04P8:D6N\x04HF0.*NP\x04\x05\x0e\x04NP*.2Z\x04FD\x04:FP\x01%\x11\x01\xdc\xc3\xdc\xbb\xdc\xc0\xdc\xbd\xdc\xc0\xdc\xc4\xdc\xc5\xdc\x00'
"Thursday, March 26th, 2020",2621235296751076912,19,b'0P8RLN0*Z\x06\x04B*L.8\x04\x0f\x1cP8\x06\x04\x0fS\xaa\x01\x1a\x01\xdc\xbd\xdc\x0f\x00'
Breaking News Update: 3.3 Million File Unemployment Claims Due To Coronavirus,3898724037,1,"b'0,L2*>:D6\x04D2VN\x04RH0*P2\x076\x04\x0f\x05\x08\x0f\x05\x04B:@@:FD\x044:@2\x04RD2BH@FZB2DP\x04.@*:BN\x040R2\x04PF\x04.FLFD*T:LRN\x01%%\x0f\x01\xdc\xbe\xdc\xc2\xdc\xbb\xdc\xbf\xdc\xc2\xdc\xba\xdc\xc0\xdc\xc3\xdc\xc4\xdc\x0e\x00'"
Episode 261: Set up a secure IoT network and Wyze has new gear,3992781083,4,b'02H:NF02\x04\x0fL\xbd\x076\x04N2P\x04RH\x04*\x04N2.RL2\x04:FP\x04D2PVFL>\x04*D0\x04VZ\\2\x048*N\x04D2V\x0462*L\x01%\x1f\x01\xdc\xbc\xdc\xb7\xdc\xc5\xdc\xb9\xe0\x14\x00'
#433 - iPad Pro got SUPERCHARGED,6946936165357133376,26,b'1\x0fMk\x04\x05\x0e\x04:H*0\x04HLF\x046FP\x04NRH2L.8*L620\x01!\x01\xc1\xdc\xc3\xdc\xbf\xdc\xdc\xdc\xdc\xdc\xdc\xdc\xdc\xdc\xdc\xdc\xdc\x00'
433 - iPad Pro got SUPERCHARGED,7174579752506897632,26,b'1\x0fMk\x04\x05\x0e\x04:H*0\x04HLF\x046FP\x04NRH2L.8*L620\x01!\x01\xc1\xdc\xc3\xdc\xbf\xdc\xdc\xdc\xdc\xdc\xdc\xdc\xdc\xdc\xdc\xdc\xdc\x00'
"Friday, March 27th, 2020",4027383206,5,b'04L:0*Z\x06\x04B*L.8\x04\x0f\x1dP8\x06\x04\x0fS\xaa\x01\x18\x01\xdc\xbf\xdc\x0f\x00'
A Stranger Love (feat. Sarah Chernoff),3087320681,0,b'0*\x04NPL*D62L\x04@FT2\x04\t\x8e42*P\x08\x04N*L*8\x04.82LDF44\t\x90\x01%\t\x01\xdc\xc5\xdc\xbe\xdc\xbb\xdc\xc1\xdc\x0c\x00'
A Tribe Called Quest,3133085427,0,"b'0*\x04PL:,2\x04.*@@20\x04JR2NP\x01\x18\x01\xdc\xc5\xdc\xc1\xdc\xc0\xe0\x08\x00'"
A. Graham & M. Samuels,3151573852,0,b'0*\x08\x046L*8*B\x04\n\x90\x04B\x08\x04N*BR2@N\x01\x1a\x01\xdc\xc4\xdc\xbe\xdc\xc4\xdc\n\x00'
"A. Graham, M. Samuels & N. Shebib",3153856374,0,"b'0*\x08\x046L*8*B\x06\x04B\x08\x04N*BR2@N\x04\n\x90\x04D\x08\x04N82,:,\x01%\x01\xdc\xc4\xdc\xbf\xdc\xc4\xdc\xbd\xdc\xc4\xdc\t\x00'"
"A. Taylor, R. Mickens, R. Bell, G. Brown, Richard Westfield, B. Thomas, C. Smith, Hula, K. Fingers & Will Smith",3168626761,0,"b'0*\x08\x04P*Z@FL\x06\x04L\x08\x04B:.>2DN\x06\x04L\x08\x04,2@@\x06\x046\x08\x04,LFVD\x06\x04L:.8*L0\x04V2NP4:2@0\x06\x04,\x08\x04P8FB*N\x06\x04.\x08\x04NB:P8\x06\x048R@*\x06\x04>\x08\x044:D62LN\x04\n\x90\x04V:@@\x04NB:P8\x01%%%\x10\x01\xdc\xc4\xdc\xbf\xdc\xc4\xdc\xbe\xdc\xc4\xdc\xc1\xdc\xc4\xdc\xc0\xdc\xbf\xe0\xbc\xdc\xc4\xdc\xbf\xdc\xc4\xdc\xc0\xdc\xc1\xdc\xc4\xdc\xbd\xe0\xc2\xdc\x08\x00'"
"A. Young, M. Young & B. Scott",3174399069,0,"b'0*\x08\x04ZFRD6\x06\x04B\x08\x04ZFRD6\x04\n\x90\x04,\x08\x04N.FPP\x01!\x01\xdc\xc4\xdc\xc0\xdc\xc4\xdc\xbf\xdc\xc4\xdc\x08\x00'"
AC/DC,3340794901,0,b'0*.\n\x8a0.\x01\t\x01\xdc\xdc\xc5\xdc\xdc\x00'
"Adam Levine, Shellback, Benjamin Levin, Ammar Malik, Dan Omelio & Cameron Thomaz",3450744227,0,"b'0*0*B\x04@2T:D2\x06\x04N82@@,*.>\x06\x04,2D<*B:D\x04@2T:D\x06\x04*BB*L\x04B*@:>\x06\x040*D\x04FB2@:F\x04\n\x90\x04.*B2LFD\x04P8FB*\\\x01%%\x12\x01\xdc\xc2\xdc\xbf\xdc\xbc\xdc\xbe\xdc\xc0\xdc\xc1\xdc\xc0\xdc\xc3\xdc\xbe\xdc\xbf\xdc\t\x00'"
Aerodynamic,3518209214,0,b'0*2LF0ZD*B:.\x01\x0f\x01\xdc\x0e\x00'
"Airplanes, Part II (feat Eminem & Hayley Williams of Paramore)",3679604179,0,b'0*:LH@*D2N\x06\x04H*LP\x04::\x04\t\x8e42*P\x042B:D2B\x04\n\x90\x048*Z@2Z\x04V:@@:*BN\x04F4\x04H*L*BFL2\t\x90\x01%!\x01\xdc\xbc\xdc\xc2\xdc\xdc\xbf\xdc\xbe\xdc\xc0\xe0\xbb\xdc\x0c\x00'
"Alex Grant, Bobby Simmons Jr., Jeremy Dussolliet, Luis Resto, Marshall Mathers & Tim Sommers",3784669779,0,"b'0*@2X\x046L*DP\x06\x04,F,,Z\x04N:BBFDN\x04<L\x08\x06\x04<2L2BZ\x040RNNF@@:2P\x06\x04@R:N\x04L2NPF\x06\x04B*LN8*@@\x04B*P82LN\x04\n\x90\x04P:B\x04NFBB2LN\x01%%\x1e\x01\xdc\xc2\xdc\xc0\xdc\xc1\xdc\xbf\xdc\xc2\xdc\xc0\xdc\xbb\xdc\xc2\xdc\xc0\xdc\xbe\xdc\xbd\xdc\xc3\xdc\n\x00'"
"Alex Ridha, Paul Simon & Harry Baauer",3785526919,0,"b'0*@2X\x04L:08*\x06\x04H*R@\x04N:BFD\x04\n\x90\x048*LLZ\x04,**R2L\x01%\x08\x01\xdc\xc2\xdc\xc0\xdc\xc2\xdc\xbf\xdc\xc1\xdc\t\x00'"
"Alex Van Halen, David Lee Roth, Eddie Van Halen & Michael Anthony",3785837174,0,b'0*@2X\x04T*D\x048*@2D\x06\x040*T:0\x04@22\x04LFP8\x06\x04200:2\x04T*D\x048*@2D\x04\n\x90\x04B:.8*2@\x04*DP8FDZ\x01%$\x01\xdc\xc2\xdc\xc3\xdc\xc0\xdc\xc1\xdc\xc3\xdc\xc1\xdc\xc1\xdc\xc3\xdc\xbf\xdc\xbf\xdc\n\x00'
"Alicia Keys, Shawn Carter, Al Shuckburgh, J. Sewell-Ulepic, A. Hunte, Bobby B. Keyes & Sylvia Robinson",3796343735,0,"b'0*@:.:*\x04>2ZN\x06\x04N8*VD\x04.*LP2L\x06\x04*@\x04N8R.>,RL68\x06\x04<\x08\x04N2V2@@\x05\x0eR@2H:.\x06\x04*\x08\x048RDP2\x06\x04,F,,Z\x04,\x08\x04>2Z2N\x04\n\x90\x04NZ@T:*\x04LF,:DNFD\x01%%%\x07\x01\xdc\xc0\xdc\xc1\xdc\xc1\xdc\xbf\xdc\xc4\xdc\xbb\xdc\xc4\xdc\xc0\xdc\xbf\xdc\xc4\xdc\xc0\xdc\xc1\xdc\xc4\xdc\xbf\xdc\xc0\xdc\x0b\x00'"
All of the Lights,3827889426,0,b'0*@@\x04F4\x04P82\x04@:68PN\x01\x15\x01\xdc\xbc\xdc\t\x00'
All You're Waiting For,3835236337,0,b'0*@@\x04ZFR\tjL2\x04V*:P:D6\x044FL\x01\x1a\x01\xdc\xc3\xdc\xc0\xe0\xbf\xdc\x06\x00'
All You're Waiting For - EP,3835355902,0,b'0*@@\x04ZFR\tjL2\x04V*:P:D6\x044FL\x04\x05\x0e\x042H\x01\x1f\x01\xdc\xc3\xdc\xc0\xe0\xbf\xdc\xc1\xdc\xdc\x00'
All You're Waiting For (Switch Remix),3836431986,0,b'0*@@\x04ZFR\tjL2\x04V*:P:D6\x044FL\x04\t\x8eNV:P.8\x04L2B:X\t\x90\x01%\x08\x01\xdc\xc3\xdc\xc0\xe0\xbf\xdc\xc2\xdc\xc0\xdc\t\x00'
Aloe Blacc,3846116747,0,"b'0*@F2\x04,@*..\x01\x0e\x01\xdc\xc2\xdc\x08\x00'"
"Alvin Joiner, Andre Young & Melvin Bradford",3865564946,0,"b'0*@T:D\x04<F:D2L\x06\x04*D0L2\x04ZFRD6\x04\n\x90\x04B2@T:D\x04,L*04FL0\x01%\x0e\x01\xdc\xc1\xdc\xbf\xdc\xc1\xdc\xbf\xdc\xc0\xdc\x0b\x00'"
"Alvin Joiner, Jesse West & George Clinton",3865575433,0,b'0*@T:D\x04<F:D2L\x06\x04<2NN2\x04V2NP\x04\n\x90\x0462FL62\x04.@:DPFD\x01%\x0c\x01\xdc\xc1\xdc\xbf\xdc\xc1\xe0\xc0\xdc\xc0\xdc\n\x00'
"Amy Winehouse, Nasir Jones p/k/a NAS & Salaam Remi",3866737741,0,b'0*BZ\x04V:D28FRN2\x06\x04D*N:L\x04<FD2N\x04H\n\x8a>\n\x8a*\x04D*N\x04\n\x90\x04N*@**B\x04L2B:\x01%\x15\x01\xdc\xc3\xe0\xbc\xdc\xc1\xdc\xbb\xdc\xdc\xdc\xc3\xdc\xc0\xdc\x07\x00'
...And Then There Was X,3867617790,0,b'0*D0\x04P82D\x04P82L2\x04V*N\x04X\x01\x18\x01\xdc\xc3\xdc\xc2\xdc\xc1\xe0\xc3\xdc\x00'
And Then There Was X,3867628654,0,b'0*D0\x04P82D\x04P82L2\x04V*N\x04X\x01\x18\x01\xdc\xc3\xdc\xc2\xdc\xc1\xe0\xc3\xdc\x00'
"Andre R. Young, Melvin Charles Bradford, Shawn Carter & Scott Storch",3867637454,0,"b'0*D0L2\x04L\x08\x04ZFRD6\x06\x04B2@T:D\x04.8*L@2N\x04,L*04FL0\x06\x04N8*VD\x04.*LP2L\x04\n\x90\x04N.FPP\x04NPFL.8\x01%%\x06\x01\xdc\xc1\xdc\xc4\xdc\xc0\xdc\xc0\xdc\xbf\xdc\xbd\xdc\xc1\xdc\xbe\xdc\xc1\xdc\t\x00'"
"Andrew Stockdale, Myles Heskett & Chris Ross",3867638432,0,b'0*D0L2V\x04NPF.>0*@2\x06\x04BZ@2N\x0482N>2PP\x04\n\x90\x04.8L:N\x04LFNN\x01%\x0f\x01\xdc\xc0\xdc\xbc\xdc\xc1\xdc\xbd\xdc\xc1\xdc\x07\x00'
Andrew Taggart & Elizabeth M Mencel,3867640058,0,"b'0*D0L2V\x04P*66*LP\x04\n\x90\x042@:\\*,2P8\x04B\x04B2D.2@\x01%\x06\x01\xdc\xc0\xdc\xbd\xdc\xbd\xdc\xc5\xdc\t\x00'"
Angel On My Shoulder (EDX's Belo Horizonte At Night Remix),3867654694,0,"b'0*D62@\x04FD\x04BZ\x04N8FR@02L\x04\t\x8e20X\tjN\x04,2@F\x048FL:\\FDP2\x04*P\x04D:68P\x04L2B:X\t\x90\x01%\x1d\x01\xdc\xc1\xdc\xc4\xdc\xc4\xdc\xbd\xdc\xdc\xdc\xc3\xdc\xc2\xdc\xbd\xdc\xc4\xdc\xc1\xdc\t\x00'"
"Ante Up Remix (feat. Busta Rhymes, Teflon, and Remy Martin)",3867719264,0,"b'0*DP2\x04RH\x04L2B:X\x04\t\x8e42*P\x08\x04,RNP*\x04L8ZB2N\x06\x04P24@FD\x06\x04*D0\x04L2BZ\x04B*LP:D\t\x90\x01%\x1e\x01\xdc\xc2\xdc\xc4\xdc\xba\xdc\xc1\xdc\xbf\xdc\xbb\xdc\xc2\xdc\n\x00'"
Appetite for Destruction (Super Deluxe),3869518383,0,b'0*HH2P:P2\x044FL\x0402NPLR.P:FD\x04\t\x8eNRH2L\x0402@RX2\t\x90\x01%\n\x01\xdc\xba\xdc\xba\xdc\xc1\xdc\n\x00'
"Arash Pournouri, Avicii, Cirkut, Etta James, Leroy Kirkland, Lukasz Gottwald, Pearl Woods & Tramar Dillard",3870547178,0,b'0*L*N8\x04HFRLDFRL:\x06\x04*T:.::\x06\x04.:L>RP\x06\x042PP*\x04<*B2N\x06\x04@2LFZ\x04>:L>@*D0\x06\x04@R>*N\\\x046FPPV*@0\x06\x04H2*L@\x04VFF0N\x04\n\x90\x04PL*B*L\x040:@@*L0\x01%%%\x0b\x01\xdc\xc1\xdc\xbc\xdc\xbf\xdc\xbf\xdc\xc2\xdc\xc0\xdc\xc1\xdc\xbd\xdc\xc0\xdc\xbd\xdc\xc1\xe0\xbf\xdc\xc0\xdc\n\x00'
Are You Gonna Go My Way,3870648994,0,b'0*L2\x04ZFR\x046FDD*\x046F\x04BZ\x04V*Z\x01\x1b\x01\xdc\xc3\xdc\xc3\xdc\xc1\xdc\xc4\xdc\xc4\xe0\x06\x00'
Are You Gonna Go My Way (20th Anniversary Deluxe Edition),3870660306,0,b'0*L2\x04ZFR\x046FDD*\x046F\x04BZ\x04V*Z\x04\t\x8e\x0f\x16P8\x04*DD:T2LN*LZ\x0402@RX2\x0420:P:FD\t\x90\x01%\x1b\x01\xdc\xc3\xdc\xc3\xdc\xc1\xdc\xc4\xdc\xc4\xe0\xbe\xdc\xbb\xdc\xc0\xdc\x0b\x00'
Award Tour,3872120351,0,b'0*V*L0\x04PFRL\x01\x0e\x01\xdc\xc1\xdc\x07\x00'
